Sending Rate,4-4-6633,4-4-6634,5-3-6633,5-3-6634
2500,717.0806465517857,2800.681236144053,2875.8173737534594,2881.422710110861
1000,877.8561027535619,2262.305618753023,1194.172984265867,2023.8805751195334
750,755.9001683331978,1792.184517996295,726.4295328689144,1381.9707019697266
2000,876.4149205930474,2997.6855906087494,2313.2059464188546,2933.020225307188
500,386.4905700914448,888.2381297092725,641.6204854356522,1098.855996644662
3000,397.19501004252567,2051.695332572425,1387.4513095978873,1392.344571087647
250,214.1764429047398,435.6416007147639,265.9308998767418,418.37827940725526
1500,1058.9521420151725,3259.0924144303367,2210.6433124424157,2512.445345435693
