"No.","Time","Source","Destination","Protocol","Length","Info"
"26","0.577553388","127.0.0.1","127.0.0.1","OpenFlow","208","Type: OFPT_PACKET_IN"
"27","0.578235188","127.0.0.1","127.0.0.1","OpenFlow","108","Type: OFPT_PACKET_OUT"
"46","0.581264951","127.0.0.1","127.0.0.1","OpenFlow","208","Type: OFPT_PACKET_IN"
"47","0.581828220","127.0.0.1","127.0.0.1","OpenFlow","108","Type: OFPT_PACKET_OUT"
"51","0.582101685","127.0.0.1","127.0.0.1","OpenFlow","208","Type: OFPT_PACKET_IN"
"52","0.582476503","127.0.0.1","127.0.0.1","OpenFlow","108","Type: OFPT_PACKET_OUT"
"67","0.584441659","127.0.0.1","127.0.0.1","OpenFlow","208","Type: OFPT_PACKET_IN"
"68","0.584847247","127.0.0.1","127.0.0.1","OpenFlow","108","Type: OFPT_PACKET_OUT"
"71","0.585103008","127.0.0.1","127.0.0.1","OpenFlow","208","Type: OFPT_PACKET_IN"
"72","0.585516347","127.0.0.1","127.0.0.1","OpenFlow","108","Type: OFPT_PACKET_OUT"
"87","0.587382932","127.0.0.1","127.0.0.1","OpenFlow","208","Type: OFPT_PACKET_IN"
"88","0.587910103","127.0.0.1","127.0.0.1","OpenFlow","108","Type: OFPT_PACKET_OUT"
"91","0.588131140","127.0.0.1","127.0.0.1","OpenFlow","208","Type: OFPT_PACKET_IN"
"92","0.588595715","127.0.0.1","127.0.0.1","OpenFlow","108","Type: OFPT_PACKET_OUT"
"107","0.591312336","127.0.0.1","127.0.0.1","OpenFlow","208","Type: OFPT_PACKET_IN"
"108","0.591968736","127.0.0.1","127.0.0.1","OpenFlow","108","Type: OFPT_PACKET_OUT"
"111","0.592286698","127.0.0.1","127.0.0.1","OpenFlow","208","Type: OFPT_PACKET_IN"
"112","0.592668330","127.0.0.1","127.0.0.1","OpenFlow","108","Type: OFPT_PACKET_OUT"
"127","0.594433368","127.0.0.1","127.0.0.1","OpenFlow","208","Type: OFPT_PACKET_IN"
"128","0.594855849","127.0.0.1","127.0.0.1","OpenFlow","108","Type: OFPT_PACKET_OUT"
"131","0.595094884","127.0.0.1","127.0.0.1","OpenFlow","208","Type: OFPT_PACKET_IN"
"132","0.595464821","127.0.0.1","127.0.0.1","OpenFlow","108","Type: OFPT_PACKET_OUT"
"147","0.597274788","127.0.0.1","127.0.0.1","OpenFlow","208","Type: OFPT_PACKET_IN"
"148","0.597770878","127.0.0.1","127.0.0.1","OpenFlow","108","Type: OFPT_PACKET_OUT"
"151","0.598084628","127.0.0.1","127.0.0.1","OpenFlow","208","Type: OFPT_PACKET_IN"
"152","0.598415991","127.0.0.1","127.0.0.1","OpenFlow","108","Type: OFPT_PACKET_OUT"
"167","0.600160946","127.0.0.1","127.0.0.1","OpenFlow","208","Type: OFPT_PACKET_IN"
"168","0.600533483","127.0.0.1","127.0.0.1","OpenFlow","108","Type: OFPT_PACKET_OUT"
"171","0.600736692","127.0.0.1","127.0.0.1","OpenFlow","208","Type: OFPT_PACKET_IN"
"172","0.601145299","127.0.0.1","127.0.0.1","OpenFlow","108","Type: OFPT_PACKET_OUT"
"187","0.605661847","127.0.0.1","127.0.0.1","OpenFlow","208","Type: OFPT_PACKET_IN"
"188","0.606302355","127.0.0.1","127.0.0.1","OpenFlow","108","Type: OFPT_PACKET_OUT"
"191","0.606642246","127.0.0.1","127.0.0.1","OpenFlow","208","Type: OFPT_PACKET_IN"
"192","0.606954031","127.0.0.1","127.0.0.1","OpenFlow","108","Type: OFPT_PACKET_OUT"
"207","0.608847395","127.0.0.1","127.0.0.1","OpenFlow","208","Type: OFPT_PACKET_IN"
"208","0.609330490","127.0.0.1","127.0.0.1","OpenFlow","108","Type: OFPT_PACKET_OUT"
"211","0.609619150","127.0.0.1","127.0.0.1","OpenFlow","208","Type: OFPT_PACKET_IN"
"212","0.610101522","127.0.0.1","127.0.0.1","OpenFlow","108","Type: OFPT_PACKET_OUT"
"227","0.611952459","127.0.0.1","127.0.0.1","OpenFlow","208","Type: OFPT_PACKET_IN"
"228","0.612411385","127.0.0.1","127.0.0.1","OpenFlow","108","Type: OFPT_PACKET_OUT"
"231","0.612699714","127.0.0.1","127.0.0.1","OpenFlow","208","Type: OFPT_PACKET_IN"
"232","0.613040153","127.0.0.1","127.0.0.1","OpenFlow","108","Type: OFPT_PACKET_OUT"
"247","0.614792040","127.0.0.1","127.0.0.1","OpenFlow","208","Type: OFPT_PACKET_IN"
"248","0.615303255","127.0.0.1","127.0.0.1","OpenFlow","108","Type: OFPT_PACKET_OUT"
"251","0.615450692","127.0.0.1","127.0.0.1","OpenFlow","208","Type: OFPT_PACKET_IN"
