"No.","Time","Source","Destination","Protocol","Length","Info"
"295127","22.219180330","127.0.0.1","127.0.0.1","OpenFlow","108","Type: OFPT_PACKET_OUT"
"295167","22.226017570","127.0.0.1","127.0.0.1","OpenFlow","208","Type: OFPT_PACKET_IN"
"295168","22.226477417","127.0.0.1","127.0.0.1","OpenFlow","108","Type: OFPT_PACKET_OUT"
"295171","22.226616401","127.0.0.1","127.0.0.1","OpenFlow","208","Type: OFPT_PACKET_IN"
"295172","22.227017476","127.0.0.1","127.0.0.1","OpenFlow","108","Type: OFPT_PACKET_OUT"
"295185","22.227582450","127.0.0.1","127.0.0.1","OpenFlow","238","Type: OFPT_PACKET_IN"
"295187","22.228572119","127.0.0.1","127.0.0.1","OpenFlow","108","Type: OFPT_PACKET_OUT"
"295465","22.235593659","127.0.0.1","127.0.0.1","OpenFlow","208","Type: OFPT_PACKET_IN"
"295466","22.236197601","127.0.0.1","127.0.0.1","OpenFlow","108","Type: OFPT_PACKET_OUT"
"295469","22.236365304","127.0.0.1","127.0.0.1","OpenFlow","208","Type: OFPT_PACKET_IN"
"295470","22.236746397","127.0.0.1","127.0.0.1","OpenFlow","108","Type: OFPT_PACKET_OUT"
"295497","22.239457796","127.0.0.1","127.0.0.1","OpenFlow","200","Type: OFPT_PACKET_IN"
"295498","22.239469530","127.0.0.1","127.0.0.1","OpenFlow","180","Type: OFPT_PACKET_IN"
"295500","22.240285501","127.0.0.1","127.0.0.1","OpenFlow","108","Type: OFPT_PACKET_OUT"
"295503","22.240460699","127.0.0.1","127.0.0.1","OpenFlow","108","Type: OFPT_PACKET_OUT"
"295540","22.247327872","127.0.0.1","127.0.0.1","OpenFlow","200","Type: OFPT_PACKET_IN"
"295544","22.247954105","127.0.0.1","127.0.0.1","OpenFlow","108","Type: OFPT_PACKET_OUT"
"295566","22.249109171","127.0.0.1","127.0.0.1","OpenFlow","238","Type: OFPT_PACKET_IN"
"295585","22.249348270","127.0.0.1","127.0.0.1","OpenFlow","208","Type: OFPT_PACKET_IN"
"295586","22.249353352","127.0.0.1","127.0.0.1","OpenFlow","208","Type: OFPT_PACKET_IN"
"295591","22.251264303","127.0.0.1","127.0.0.1","OpenFlow","108","Type: OFPT_PACKET_OUT"
"295595","22.252204648","127.0.0.1","127.0.0.1","OpenFlow","108","Type: OFPT_PACKET_OUT"
"295599","22.252374136","127.0.0.1","127.0.0.1","OpenFlow","208","Type: OFPT_PACKET_IN"
"295600","22.252452397","127.0.0.1","127.0.0.1","OpenFlow","108","Type: OFPT_PACKET_OUT"
"295603","22.252595318","127.0.0.1","127.0.0.1","OpenFlow","208","Type: OFPT_PACKET_IN"
"295631","22.253791797","127.0.0.1","127.0.0.1","OpenFlow","208","Type: OFPT_PACKET_IN"
"295633","22.254231217","127.0.0.1","127.0.0.1","OpenFlow","108","Type: OFPT_PACKET_OUT"
"295650","22.254537031","127.0.0.1","127.0.0.1","OpenFlow","238","Type: OFPT_PACKET_IN"
"295651","22.254560581","127.0.0.1","127.0.0.1","OpenFlow","208","Type: OFPT_PACKET_IN"
"295652","22.254565874","127.0.0.1","127.0.0.1","OpenFlow","238","Type: OFPT_PACKET_IN"
"295653","22.254570944","127.0.0.1","127.0.0.1","OpenFlow","238","Type: OFPT_PACKET_IN"
"295654","22.254709882","127.0.0.1","127.0.0.1","OpenFlow","108","Type: OFPT_PACKET_OUT"
"295687","22.257492663","127.0.0.1","127.0.0.1","OpenFlow","108","Type: OFPT_PACKET_OUT"
"295699","22.257820003","127.0.0.1","127.0.0.1","OpenFlow","208","Type: OFPT_PACKET_IN"
"295711","22.258074765","127.0.0.1","127.0.0.1","OpenFlow","238","Type: OFPT_PACKET_IN"
"295718","22.258180657","127.0.0.1","127.0.0.1","OpenFlow","208","Type: OFPT_PACKET_IN"
