"No.","Time","Source","Destination","Protocol","Length","Info"
"24","1.265016306","127.0.0.1","127.0.0.1","OpenFlow","152","Type: OFPT_PACKET_IN"
"42","1.266157667","127.0.0.1","127.0.0.1","OpenFlow","152","Type: OFPT_PACKET_IN"
"43","1.266198738","127.0.0.1","127.0.0.1","OpenFlow","152","Type: OFPT_PACKET_IN"
"44","1.266206616","127.0.0.1","127.0.0.1","OpenFlow","152","Type: OFPT_PACKET_IN"
"45","1.267493509","127.0.0.1","127.0.0.1","OpenFlow","108","Type: OFPT_PACKET_OUT"
"49","1.267742592","127.0.0.1","127.0.0.1","OpenFlow","108","Type: OFPT_PACKET_OUT"
"54","1.267932018","127.0.0.1","127.0.0.1","OpenFlow","152","Type: OFPT_PACKET_IN"
"55","1.268028529","127.0.0.1","127.0.0.1","OpenFlow","108","Type: OFPT_PACKET_OUT"
"59","1.268187477","127.0.0.1","127.0.0.1","OpenFlow","108","Type: OFPT_PACKET_OUT"
"63","1.268689751","127.0.0.1","127.0.0.1","OpenFlow","108","Type: OFPT_PACKET_OUT"
"92","1.266198738","127.0.0.1","127.0.0.1","OpenFlow","150","[TCP Spurious Retransmission] Type: OFPT_PACKET_IN"
"121","1.273877948","127.0.0.1","127.0.0.1","OpenFlow","206","Type: OFPT_PACKET_IN"
"124","1.274419674","127.0.0.1","127.0.0.1","OpenFlow","106","Type: OFPT_PACKET_OUT"
"125","1.274682209","127.0.0.1","127.0.0.1","OpenFlow","206","Type: OFPT_PACKET_IN"
"128","1.275105439","127.0.0.1","127.0.0.1","OpenFlow","106","Type: OFPT_PACKET_OUT"
"137","1.276656336","127.0.0.1","127.0.0.1","OpenFlow","206","Type: OFPT_PACKET_IN"
"139","1.277018402","127.0.0.1","127.0.0.1","OpenFlow","106","Type: OFPT_PACKET_OUT"
"141","1.277698951","127.0.0.1","127.0.0.1","OpenFlow","206","Type: OFPT_PACKET_IN"
"144","1.278518045","127.0.0.1","127.0.0.1","OpenFlow","106","Type: OFPT_PACKET_OUT"
"194","1.273877948","127.0.0.1","127.0.0.1","OpenFlow","208","[TCP Spurious Retransmission] Type: OFPT_PACKET_IN"
"276","1.285132844","127.0.0.1","127.0.0.1","OpenFlow","208","Type: OFPT_PACKET_IN"
"278","1.285602663","127.0.0.1","127.0.0.1","OpenFlow","108","Type: OFPT_PACKET_OUT"
"282","1.285754573","127.0.0.1","127.0.0.1","OpenFlow","208","Type: OFPT_PACKET_IN"
"284","1.286202572","127.0.0.1","127.0.0.1","OpenFlow","108","Type: OFPT_PACKET_OUT"
"312","1.289092124","127.0.0.1","127.0.0.1","OpenFlow","208","Type: OFPT_PACKET_IN"
"317","1.289625207","127.0.0.1","127.0.0.1","OpenFlow","108","Type: OFPT_PACKET_OUT"
"321","1.289768283","127.0.0.1","127.0.0.1","OpenFlow","208","Type: OFPT_PACKET_IN"
"324","1.290266218","127.0.0.1","127.0.0.1","OpenFlow","108","Type: OFPT_PACKET_OUT"
"359","1.294029536","127.0.0.1","127.0.0.1","OpenFlow","208","Type: OFPT_PACKET_IN"
"362","1.294680035","127.0.0.1","127.0.0.1","OpenFlow","108","Type: OFPT_PACKET_OUT"
"369","1.294943657","127.0.0.1","127.0.0.1","OpenFlow","208","Type: OFPT_PACKET_IN"
