"No.","Time","Source","Destination","Protocol","Length","Info"
"547359","43.308446128","127.0.0.1","127.0.0.1","OpenFlow","206","Type: OFPT_PACKET_IN"
"547360","43.309355192","127.0.0.1","127.0.0.1","OpenFlow","106","Type: OFPT_PACKET_OUT"
"547361","43.309625856","127.0.0.1","127.0.0.1","OpenFlow","206","Type: OFPT_PACKET_IN"
"547362","43.310121794","127.0.0.1","127.0.0.1","OpenFlow","106","Type: OFPT_PACKET_OUT"
"547466","43.255507855","127.0.0.1","127.0.0.1","OpenFlow","208","[TCP Spurious Retransmission] Type: OFPT_PACKET_IN"
"547826","43.315018237","127.0.0.1","127.0.0.1","OpenFlow","208","Type: OFPT_PACKET_IN"
"547827","43.315443149","127.0.0.1","127.0.0.1","OpenFlow","108","Type: OFPT_PACKET_OUT"
"547830","43.315639519","127.0.0.1","127.0.0.1","OpenFlow","208","Type: OFPT_PACKET_IN"
"547831","43.316015699","127.0.0.1","127.0.0.1","OpenFlow","108","Type: OFPT_PACKET_OUT"
"547867","43.321278926","127.0.0.1","127.0.0.1","OpenFlow","208","Type: OFPT_PACKET_IN"
"547868","43.321667616","127.0.0.1","127.0.0.1","OpenFlow","108","Type: OFPT_PACKET_OUT"
"547871","43.321853572","127.0.0.1","127.0.0.1","OpenFlow","208","Type: OFPT_PACKET_IN"
"547872","43.322303195","127.0.0.1","127.0.0.1","OpenFlow","108","Type: OFPT_PACKET_OUT"
"547907","43.327666207","127.0.0.1","127.0.0.1","OpenFlow","208","Type: OFPT_PACKET_IN"
"547908","43.328167925","127.0.0.1","127.0.0.1","OpenFlow","108","Type: OFPT_PACKET_OUT"
"547911","43.328363784","127.0.0.1","127.0.0.1","OpenFlow","208","Type: OFPT_PACKET_IN"
"547912","43.328735143","127.0.0.1","127.0.0.1","OpenFlow","108","Type: OFPT_PACKET_OUT"
"547947","43.334033328","127.0.0.1","127.0.0.1","OpenFlow","208","Type: OFPT_PACKET_IN"
"547948","43.334760490","127.0.0.1","127.0.0.1","OpenFlow","108","Type: OFPT_PACKET_OUT"
