Time,6633-restime,6634-restime,6633-throughput,6634-throughput
0.0,0.010362694300518135,0.07407407407407407,96.5,13.5
1.0,0.020618556701030927,0.14285714285714285,48.5,7.0
2.0,0.07142857142857142,1.0,14.0,1.0
3.0,0.0008257638315441783,0.003316749585406302,1211.0,301.5
4.0,0.0008802816901408451,0.003527336860670194,1136.0,283.5
5.0,0.0008869179600886918,0.0035650623885918,1127.5,280.5
6.0,0.000859106529209622,0.0034542314335060447,1164.0,289.5
7.0,0.0008496176720475786,0.0034129692832764505,1177.0,293.0
8.0,0.0008445945945945946,0.003418803418803419,1184.0,292.5
9.0,0.0008661758336942399,0.0034662045060658577,1154.5,288.5
10.0,0.0008417508417508417,0.0033500837520938024,1188.0,298.5
11.0,0.0008729812309035355,0.0035026269702276708,1145.5,285.5
12.0,0.000819000819000819,0.003278688524590164,1221.0,305.0
13.0,0.0008302200083022001,0.0033500837520938024,1204.5,298.5
14.0,0.000819000819000819,0.0032733224222585926,1221.0,305.5
15.0,0.0008254230293025176,0.0032948929159802307,1211.5,303.5
16.0,0.0008080808080808081,0.0032414910858995136,1237.5,308.5
17.0,0.0008424599831508003,0.003372681281618887,1187.0,296.5
18.0,0.0008130081300813008,0.0032520325203252032,1230.0,307.5
19.0,0.0007849293563579278,0.003105590062111801,1274.0,322.0
20.0,0.0008499787505312367,0.003424657534246575,1176.5,292.0
21.0,0.0008159934720522236,0.0032626427406199023,1225.5,306.5
22.0,0.0008343763037129745,0.0033444816053511705,1198.5,299.0
23.0,0.0008635578583765112,0.0034542314335060447,1158.0,289.5
24.0,0.000819000819000819,0.00333889816360601,1221.0,299.5
25.0,0.0008302200083022001,0.0033222591362126247,1204.5,301.0
26.0,0.0009124087591240876,0.00261437908496732,1096.0,382.5
27.0,0.0010799136069114472,0.0016286644951140066,926.0,614.0
28.0,0.0010672358591248667,0.0015910898965791568,937.0,628.5
29.0,0.0010893246187363835,0.001639344262295082,918.0,610.0
30.0,0.001105583195135434,0.0016570008285004142,904.5,603.5
31.0,0.0011185682326621924,0.0016849199663016006,894.0,593.5
32.0,0.0010934937124111536,0.001644736842105263,914.5,608.0
33.0,0.0010863661053775121,0.0016286644951140066,920.5,614.0
34.0,0.001087547580206634,0.001638001638001638,919.5,610.5
35.0,0.001084010840108401,0.0016260162601626016,922.5,615.0
36.0,0.0011173184357541898,0.0016778523489932886,895.0,596.0
37.0,0.001084010840108401,0.0016326530612244899,922.5,612.5
38.0,0.0010582010582010583,0.0015885623510722795,945.0,629.5
39.0,0.0011154489682097045,0.001670843776106934,896.5,598.5
40.0,0.00117096018735363,0.0017605633802816902,854.0,568.0
41.0,0.0010565240359218173,0.0015822784810126582,946.5,632.0
42.0,0.0010934937124111536,0.001638001638001638,914.5,610.5
