"No.","Time","Source","Destination","Protocol","Length","Info"
"111","1.053148272","127.0.0.1","127.0.0.1","OpenFlow","217","Type: OFPT_PACKET_IN"
"112","1.053200679","127.0.0.1","127.0.0.1","OpenFlow","217","Type: OFPT_PACKET_IN"
"113","1.054505476","127.0.0.1","127.0.0.1","OpenFlow","108","Type: OFPT_PACKET_OUT"
"117","1.054839128","127.0.0.1","127.0.0.1","OpenFlow","108","Type: OFPT_PACKET_OUT"
"132","1.150820956","127.0.0.1","127.0.0.1","OpenFlow","238","Type: OFPT_PACKET_IN"
"133","1.150888516","127.0.0.1","127.0.0.1","OpenFlow","238","Type: OFPT_PACKET_IN"
"134","1.152394154","127.0.0.1","127.0.0.1","OpenFlow","108","Type: OFPT_PACKET_OUT"
"138","1.152720806","127.0.0.1","127.0.0.1","OpenFlow","108","Type: OFPT_PACKET_OUT"
"162","1.203972089","127.0.0.1","127.0.0.1","OpenFlow","217","Type: OFPT_PACKET_IN"
"163","1.203984585","127.0.0.1","127.0.0.1","OpenFlow","217","Type: OFPT_PACKET_IN"
"164","1.203992268","127.0.0.1","127.0.0.1","OpenFlow","217","Type: OFPT_PACKET_IN"
"165","1.205212434","127.0.0.1","127.0.0.1","OpenFlow","108","Type: OFPT_PACKET_OUT"
"169","1.205495832","127.0.0.1","127.0.0.1","OpenFlow","108","Type: OFPT_PACKET_OUT"
"173","1.205746584","127.0.0.1","127.0.0.1","OpenFlow","108","Type: OFPT_PACKET_OUT"
"214","1.219473236","127.0.0.1","127.0.0.1","OpenFlow","165","Type: OFPT_PACKET_IN"
"216","1.219519046","127.0.0.1","127.0.0.1","OpenFlow","165","Type: OFPT_PACKET_IN"
"217","1.219526582","127.0.0.1","127.0.0.1","OpenFlow","165","Type: OFPT_PACKET_IN"
"218","1.219530675","127.0.0.1","127.0.0.1","OpenFlow","165","Type: OFPT_PACKET_IN"
"219","1.219534655","127.0.0.1","127.0.0.1","OpenFlow","165","Type: OFPT_PACKET_IN"
