"No.","Time","Source","Destination","Protocol","Length","Info"
"7","0.000259933","127.0.0.1","127.0.0.1","OpenFlow","165","Type: OFPT_PACKET_IN"
"9","0.000273592","127.0.0.1","127.0.0.1","OpenFlow","165","Type: OFPT_PACKET_IN"
"10","0.000292173","127.0.0.1","127.0.0.1","OpenFlow","165","Type: OFPT_PACKET_IN"
"11","0.000297104","127.0.0.1","127.0.0.1","OpenFlow","165","Type: OFPT_PACKET_IN"
"12","0.000300746","127.0.0.1","127.0.0.1","OpenFlow","165","Type: OFPT_PACKET_IN"
"15","0.000393604","127.0.0.1","127.0.0.1","OpenFlow","165","Type: OFPT_PACKET_IN"
"17","0.000399371","127.0.0.1","127.0.0.1","OpenFlow","165","Type: OFPT_PACKET_IN"
"18","0.000402980","127.0.0.1","127.0.0.1","OpenFlow","165","Type: OFPT_PACKET_IN"
"21","0.000517007","127.0.0.1","127.0.0.1","OpenFlow","165","Type: OFPT_PACKET_IN"
"23","0.000522501","127.0.0.1","127.0.0.1","OpenFlow","165","Type: OFPT_PACKET_IN"
"86","0.002845566","127.0.0.1","127.0.0.1","OpenFlow","6179","Type: OFPT_PACKET_IN"
"87","0.002853300","127.0.0.1","127.0.0.1","OpenFlow","165","Type: OFPT_PACKET_IN"
"89","0.002902478","127.0.0.1","127.0.0.1","OpenFlow","165","Type: OFPT_PACKET_IN"
"92","0.002980051","127.0.0.1","127.0.0.1","OpenFlow","165","Type: OFPT_PACKET_IN"
"94","0.002985124","127.0.0.1","127.0.0.1","OpenFlow","165","Type: OFPT_PACKET_IN"
"95","0.003028873","127.0.0.1","127.0.0.1","OpenFlow","165","Type: OFPT_PACKET_IN"
"98","0.003120813","127.0.0.1","127.0.0.1","OpenFlow","165","Type: OFPT_PACKET_IN"
"99","0.003126093","127.0.0.1","127.0.0.1","OpenFlow","165","Type: OFPT_PACKET_IN"
"102","0.003176710","127.0.0.1","127.0.0.1","OpenFlow","165","Type: OFPT_PACKET_IN"
"103","0.003208123","127.0.0.1","127.0.0.1","OpenFlow","165","Type: OFPT_PACKET_IN"
"106","0.003276539","127.0.0.1","127.0.0.1","OpenFlow","165","Type: OFPT_PACKET_IN"
"108","0.003322546","127.0.0.1","127.0.0.1","OpenFlow","165","Type: OFPT_PACKET_IN"
"111","0.003351874","127.0.0.1","127.0.0.1","OpenFlow","165","Type: OFPT_PACKET_IN"
"115","0.003436436","127.0.0.1","127.0.0.1","OpenFlow","165","Type: OFPT_PACKET_IN"
"117","0.003441471","127.0.0.1","127.0.0.1","OpenFlow","165","Type: OFPT_PACKET_IN"
"118","0.003444844","127.0.0.1","127.0.0.1","OpenFlow","165","Type: OFPT_PACKET_IN"
"119","0.003459260","127.0.0.1","127.0.0.1","OpenFlow","165","Type: OFPT_PACKET_IN"
"124","0.003554153","127.0.0.1","127.0.0.1","OpenFlow","165","Type: OFPT_PACKET_IN"
"125","0.003559648","127.0.0.1","127.0.0.1","OpenFlow","165","Type: OFPT_PACKET_IN"
"126","0.003563815","127.0.0.1","127.0.0.1","OpenFlow","165","Type: OFPT_PACKET_IN"
"283","0.010849241","127.0.0.1","127.0.0.1","OpenFlow","15394","Type: OFPT_PACKET_IN"
"284","0.016072077","127.0.0.1","127.0.0.1","OpenFlow","108","Type: OFPT_PACKET_OUT"
"288","0.016416633","127.0.0.1","127.0.0.1","OpenFlow","108","Type: OFPT_PACKET_OUT"
"292","0.016547129","127.0.0.1","127.0.0.1","OpenFlow","165","Type: OFPT_PACKET_IN"
"293","0.016648359","127.0.0.1","127.0.0.1","OpenFlow","108","Type: OFPT_PACKET_OUT"
"295","0.016687280","127.0.0.1","127.0.0.1","OpenFlow","165","Type: OFPT_PACKET_IN"
"298","0.016959011","127.0.0.1","127.0.0.1","OpenFlow","108","Type: OFPT_PACKET_OUT"
"302","0.017096635","127.0.0.1","127.0.0.1","OpenFlow","108","Type: OFPT_PACKET_OUT"
"306","0.017251524","127.0.0.1","127.0.0.1","OpenFlow","165","Type: OFPT_PACKET_IN"
"307","0.017340727","127.0.0.1","127.0.0.1","OpenFlow","108","Type: OFPT_PACKET_OUT"
"311","0.017463971","127.0.0.1","127.0.0.1","OpenFlow","108","Type: OFPT_PACKET_OUT"
"315","0.017583600","127.0.0.1","127.0.0.1","OpenFlow","108","Type: OFPT_PACKET_OUT"
"319","0.017714766","127.0.0.1","127.0.0.1","OpenFlow","108","Type: OFPT_PACKET_OUT"
"323","0.017845980","127.0.0.1","127.0.0.1","OpenFlow","108","Type: OFPT_PACKET_OUT"
"327","0.017965070","127.0.0.1","127.0.0.1","OpenFlow","108","Type: OFPT_PACKET_OUT"
"331","0.018095083","127.0.0.1","127.0.0.1","OpenFlow","108","Type: OFPT_PACKET_OUT"
