"No.","Time","Source","Destination","Protocol","Length","Info"
"30","0.657018918","127.0.0.1","127.0.0.1","OpenFlow","238","Type: OFPT_PACKET_IN"
"31","0.657056489","127.0.0.1","127.0.0.1","OpenFlow","238","Type: OFPT_PACKET_IN"
"32","0.657065413","127.0.0.1","127.0.0.1","OpenFlow","238","Type: OFPT_PACKET_IN"
"33","0.658428468","127.0.0.1","127.0.0.1","OpenFlow","108","Type: OFPT_PACKET_OUT"
"37","0.658674219","127.0.0.1","127.0.0.1","OpenFlow","108","Type: OFPT_PACKET_OUT"
"41","0.658895765","127.0.0.1","127.0.0.1","OpenFlow","108","Type: OFPT_PACKET_OUT"
"110","0.726967925","127.0.0.1","127.0.0.1","OpenFlow","236","Type: OFPT_PACKET_IN"
"111","0.727809488","127.0.0.1","127.0.0.1","OpenFlow","106","Type: OFPT_PACKET_OUT"
"132","0.859935828","127.0.0.1","127.0.0.1","OpenFlow","165","Type: OFPT_PACKET_IN"
"133","0.859954703","127.0.0.1","127.0.0.1","OpenFlow","165","Type: OFPT_PACKET_IN"
"134","0.859967836","127.0.0.1","127.0.0.1","OpenFlow","165","Type: OFPT_PACKET_IN"
"136","0.860017890","127.0.0.1","127.0.0.1","OpenFlow","165","Type: OFPT_PACKET_IN"
"137","0.860023577","127.0.0.1","127.0.0.1","OpenFlow","165","Type: OFPT_PACKET_IN"
"141","0.860121026","127.0.0.1","127.0.0.1","OpenFlow","165","Type: OFPT_PACKET_IN"
"142","0.860126614","127.0.0.1","127.0.0.1","OpenFlow","165","Type: OFPT_PACKET_IN"
"144","0.860163596","127.0.0.1","127.0.0.1","OpenFlow","165","Type: OFPT_PACKET_IN"
"146","0.860188678","127.0.0.1","127.0.0.1","OpenFlow","165","Type: OFPT_PACKET_IN"
"159","0.860545617","127.0.0.1","127.0.0.1","OpenFlow","1135","Type: OFPT_PACKET_IN"
"161","0.860583491","127.0.0.1","127.0.0.1","OpenFlow","165","Type: OFPT_PACKET_IN"
"162","0.860616283","127.0.0.1","127.0.0.1","OpenFlow","165","Type: OFPT_PACKET_IN"
"165","0.860695367","127.0.0.1","127.0.0.1","OpenFlow","165","Type: OFPT_PACKET_IN"
"167","0.860700744","127.0.0.1","127.0.0.1","OpenFlow","165","Type: OFPT_PACKET_IN"
"169","0.860733107","127.0.0.1","127.0.0.1","OpenFlow","165","Type: OFPT_PACKET_IN"
"171","0.860789017","127.0.0.1","127.0.0.1","OpenFlow","165","Type: OFPT_PACKET_IN"
"172","0.860793965","127.0.0.1","127.0.0.1","OpenFlow","165","Type: OFPT_PACKET_IN"
"174","0.860823841","127.0.0.1","127.0.0.1","OpenFlow","165","Type: OFPT_PACKET_IN"
"196","0.861482402","127.0.0.1","127.0.0.1","OpenFlow","1911","Type: OFPT_PACKET_IN"
"197","0.861493190","127.0.0.1","127.0.0.1","OpenFlow","165","Type: OFPT_PACKET_IN"
"200","0.861546594","127.0.0.1","127.0.0.1","OpenFlow","165","Type: OFPT_PACKET_IN"
"202","0.861578711","127.0.0.1","127.0.0.1","OpenFlow","165","Type: OFPT_PACKET_IN"
"203","0.861594507","127.0.0.1","127.0.0.1","OpenFlow","165","Type: OFPT_PACKET_IN"
"206","0.861638941","127.0.0.1","127.0.0.1","OpenFlow","165","Type: OFPT_PACKET_IN"
"209","0.861691701","127.0.0.1","127.0.0.1","OpenFlow","165","Type: OFPT_PACKET_IN"
"210","0.861699464","127.0.0.1","127.0.0.1","OpenFlow","165","Type: OFPT_PACKET_IN"
"212","0.861721347","127.0.0.1","127.0.0.1","OpenFlow","165","Type: OFPT_PACKET_IN"
"255","0.863928687","127.0.0.1","127.0.0.1","OpenFlow","3948","Type: OFPT_PACKET_IN"
"256","0.863960473","127.0.0.1","127.0.0.1","OpenFlow","165","Type: OFPT_PACKET_IN"
"258","0.864026523","127.0.0.1","127.0.0.1","OpenFlow","165","Type: OFPT_PACKET_IN"
"259","0.864036005","127.0.0.1","127.0.0.1","OpenFlow","165","Type: OFPT_PACKET_IN"
"262","0.864137755","127.0.0.1","127.0.0.1","OpenFlow","165","Type: OFPT_PACKET_IN"
"263","0.864144402","127.0.0.1","127.0.0.1","OpenFlow","165","Type: OFPT_PACKET_IN"
"265","0.864187662","127.0.0.1","127.0.0.1","OpenFlow","165","Type: OFPT_PACKET_IN"
"267","0.864244351","127.0.0.1","127.0.0.1","OpenFlow","165","Type: OFPT_PACKET_IN"
"269","0.864296330","127.0.0.1","127.0.0.1","OpenFlow","165","Type: OFPT_PACKET_IN"
"418","0.868334290","127.0.0.1","127.0.0.1","OpenFlow","14327","Type: OFPT_PACKET_IN"
"419","0.872004673","127.0.0.1","127.0.0.1","OpenFlow","108","Type: OFPT_PACKET_OUT"
"423","0.872304793","127.0.0.1","127.0.0.1","OpenFlow","108","Type: OFPT_PACKET_OUT"
"425","0.872316083","127.0.0.1","127.0.0.1","OpenFlow","108","Type: OFPT_PACKET_OUT"
"428","0.872323780","127.0.0.1","127.0.0.1","OpenFlow","108","Type: OFPT_PACKET_OUT"
"430","0.872330573","127.0.0.1","127.0.0.1","OpenFlow","108","Type: OFPT_PACKET_OUT"
"432","0.872337331","127.0.0.1","127.0.0.1","OpenFlow","108","Type: OFPT_PACKET_OUT"
"434","0.872343612","127.0.0.1","127.0.0.1","OpenFlow","108","Type: OFPT_PACKET_OUT"
"436","0.872350102","127.0.0.1","127.0.0.1","OpenFlow","108","Type: OFPT_PACKET_OUT"
"438","0.872356437","127.0.0.1","127.0.0.1","OpenFlow","108","Type: OFPT_PACKET_OUT"
"440","0.872362896","127.0.0.1","127.0.0.1","OpenFlow","108","Type: OFPT_PACKET_OUT"
