"No.","Time","Source","Destination","Protocol","Length","Info"
"88","0.214627242","127.0.0.1","127.0.0.1","OpenFlow","165","Type: OFPT_PACKET_IN"
"93","0.214914823","127.0.0.1","127.0.0.1","OpenFlow","165","Type: OFPT_PACKET_IN"
"99","0.215188696","127.0.0.1","127.0.0.1","OpenFlow","165","Type: OFPT_PACKET_IN"
"104","0.215458993","127.0.0.1","127.0.0.1","OpenFlow","165","Type: OFPT_PACKET_IN"
"112","0.215689870","127.0.0.1","127.0.0.1","OpenFlow","108","Type: OFPT_PACKET_OUT"
"115","0.215701439","127.0.0.1","127.0.0.1","OpenFlow","108","Type: OFPT_PACKET_OUT"
"127","0.215810044","127.0.0.1","127.0.0.1","OpenFlow","165","Type: OFPT_PACKET_IN"
"128","0.215816243","127.0.0.1","127.0.0.1","OpenFlow","165","Type: OFPT_PACKET_IN"
"129","0.215819791","127.0.0.1","127.0.0.1","OpenFlow","165","Type: OFPT_PACKET_IN"
"130","0.215823242","127.0.0.1","127.0.0.1","OpenFlow","165","Type: OFPT_PACKET_IN"
"143","0.216060619","127.0.0.1","127.0.0.1","OpenFlow","165","Type: OFPT_PACKET_IN"
"145","0.216069076","127.0.0.1","127.0.0.1","OpenFlow","165","Type: OFPT_PACKET_IN"
"153","0.216212164","127.0.0.1","127.0.0.1","OpenFlow","108","Type: OFPT_PACKET_OUT"
"156","0.216220342","127.0.0.1","127.0.0.1","OpenFlow","108","Type: OFPT_PACKET_OUT"
"170","0.216431242","127.0.0.1","127.0.0.1","OpenFlow","165","Type: OFPT_PACKET_IN"
"171","0.216441698","127.0.0.1","127.0.0.1","OpenFlow","165","Type: OFPT_PACKET_IN"
"198","0.216968777","127.0.0.1","127.0.0.1","OpenFlow","108","Type: OFPT_PACKET_OUT"
"200","0.216976533","127.0.0.1","127.0.0.1","OpenFlow","108","Type: OFPT_PACKET_OUT"
"201","0.216981300","127.0.0.1","127.0.0.1","OpenFlow","108","Type: OFPT_PACKET_OUT"
"202","0.216985638","127.0.0.1","127.0.0.1","OpenFlow","108","Type: OFPT_PACKET_OUT"
"226","0.217374332","127.0.0.1","127.0.0.1","OpenFlow","165","Type: OFPT_PACKET_IN"
"227","0.217383595","127.0.0.1","127.0.0.1","OpenFlow","165","Type: OFPT_PACKET_IN"
"228","0.217390845","127.0.0.1","127.0.0.1","OpenFlow","165","Type: OFPT_PACKET_IN"
"229","0.217396941","127.0.0.1","127.0.0.1","OpenFlow","165","Type: OFPT_PACKET_IN"
"240","0.217670481","127.0.0.1","127.0.0.1","OpenFlow","108","Type: OFPT_PACKET_OUT"
"243","0.217681290","127.0.0.1","127.0.0.1","OpenFlow","108","Type: OFPT_PACKET_OUT"
"245","0.217688167","127.0.0.1","127.0.0.1","OpenFlow","108","Type: OFPT_PACKET_OUT"
"247","0.217693833","127.0.0.1","127.0.0.1","OpenFlow","108","Type: OFPT_PACKET_OUT"
"268","0.218041043","127.0.0.1","127.0.0.1","OpenFlow","165","Type: OFPT_PACKET_IN"
"270","0.218066420","127.0.0.1","127.0.0.1","OpenFlow","165","Type: OFPT_PACKET_IN"
"271","0.218075016","127.0.0.1","127.0.0.1","OpenFlow","165","Type: OFPT_PACKET_IN"
"272","0.218081437","127.0.0.1","127.0.0.1","OpenFlow","165","Type: OFPT_PACKET_IN"
"285","0.218392164","127.0.0.1","127.0.0.1","OpenFlow","108","Type: OFPT_PACKET_OUT"
"287","0.218402000","127.0.0.1","127.0.0.1","OpenFlow","108","Type: OFPT_PACKET_OUT"
"289","0.218408592","127.0.0.1","127.0.0.1","OpenFlow","108","Type: OFPT_PACKET_OUT"
"292","0.218414392","127.0.0.1","127.0.0.1","OpenFlow","108","Type: OFPT_PACKET_OUT"
"312","0.218710970","127.0.0.1","127.0.0.1","OpenFlow","165","Type: OFPT_PACKET_IN"
"314","0.218737643","127.0.0.1","127.0.0.1","OpenFlow","165","Type: OFPT_PACKET_IN"
"315","0.218745759","127.0.0.1","127.0.0.1","OpenFlow","165","Type: OFPT_PACKET_IN"
"316","0.218751614","127.0.0.1","127.0.0.1","OpenFlow","165","Type: OFPT_PACKET_IN"
"341","0.219237427","127.0.0.1","127.0.0.1","OpenFlow","108","Type: OFPT_PACKET_OUT"
"343","0.219254955","127.0.0.1","127.0.0.1","OpenFlow","108","Type: OFPT_PACKET_OUT"
"345","0.219266960","127.0.0.1","127.0.0.1","OpenFlow","108","Type: OFPT_PACKET_OUT"
"348","0.219277317","127.0.0.1","127.0.0.1","OpenFlow","108","Type: OFPT_PACKET_OUT"
"379","0.219902380","127.0.0.1","127.0.0.1","OpenFlow","108","Type: OFPT_PACKET_OUT"
"381","0.219914165","127.0.0.1","127.0.0.1","OpenFlow","108","Type: OFPT_PACKET_OUT"
"384","0.219921452","127.0.0.1","127.0.0.1","OpenFlow","108","Type: OFPT_PACKET_OUT"
"386","0.219927549","127.0.0.1","127.0.0.1","OpenFlow","108","Type: OFPT_PACKET_OUT"
"504","0.214627242","127.0.0.1","127.0.0.1","OpenFlow","163","[TCP Spurious Retransmission] Type: OFPT_PACKET_IN"
"507","0.214914823","127.0.0.1","127.0.0.1","OpenFlow","163","[TCP Spurious Retransmission] Type: OFPT_PACKET_IN"
"536","0.216060619","127.0.0.1","127.0.0.1","OpenFlow","163","[TCP Spurious Retransmission] Type: OFPT_PACKET_IN"
"537","0.216069076","127.0.0.1","127.0.0.1","OpenFlow","163","[TCP Spurious Retransmission] Type: OFPT_PACKET_IN"
"547","0.216431242","127.0.0.1","127.0.0.1","OpenFlow","163","[TCP Spurious Retransmission] Type: OFPT_PACKET_IN"
"548","0.216441698","127.0.0.1","127.0.0.1","OpenFlow","163","[TCP Spurious Retransmission] Type: OFPT_PACKET_IN"
"578","0.218041043","127.0.0.1","127.0.0.1","OpenFlow","163","[TCP Spurious Retransmission] Type: OFPT_PACKET_IN"
"579","0.218066420","127.0.0.1","127.0.0.1","OpenFlow","163","[TCP Spurious Retransmission] Type: OFPT_PACKET_IN"
"580","0.218075016","127.0.0.1","127.0.0.1","OpenFlow","163","[TCP Spurious Retransmission] Type: OFPT_PACKET_IN"
"581","0.218081437","127.0.0.1","127.0.0.1","OpenFlow","163","[TCP Spurious Retransmission] Type: OFPT_PACKET_IN"
"650","0.230577357","127.0.0.1","127.0.0.1","OpenFlow","163","Type: OFPT_PACKET_IN"
"651","0.230613353","127.0.0.1","127.0.0.1","OpenFlow","163","Type: OFPT_PACKET_IN"
"652","0.230619081","127.0.0.1","127.0.0.1","OpenFlow","163","Type: OFPT_PACKET_IN"
"653","0.230622672","127.0.0.1","127.0.0.1","OpenFlow","163","Type: OFPT_PACKET_IN"
"654","0.230626137","127.0.0.1","127.0.0.1","OpenFlow","163","Type: OFPT_PACKET_IN"
"655","0.230630466","127.0.0.1","127.0.0.1","OpenFlow","163","Type: OFPT_PACKET_IN"
"656","0.230634826","127.0.0.1","127.0.0.1","OpenFlow","163","Type: OFPT_PACKET_IN"
"657","0.230638432","127.0.0.1","127.0.0.1","OpenFlow","163","Type: OFPT_PACKET_IN"
"659","0.231244859","127.0.0.1","127.0.0.1","OpenFlow","939","Type: OFPT_PACKET_IN"
"670","0.232351213","127.0.0.1","127.0.0.1","OpenFlow","163","Type: OFPT_PACKET_IN"
"671","0.232358261","127.0.0.1","127.0.0.1","OpenFlow","163","Type: OFPT_PACKET_IN"
"672","0.232362050","127.0.0.1","127.0.0.1","OpenFlow","163","Type: OFPT_PACKET_IN"
"673","0.232365544","127.0.0.1","127.0.0.1","OpenFlow","163","Type: OFPT_PACKET_IN"
