"No.","Time","Source","Destination","Protocol","Length","Info"
"40","0.578237743","127.0.0.1","127.0.0.1","OpenFlow","238","Type: OFPT_PACKET_IN"
"41","0.578301704","127.0.0.1","127.0.0.1","OpenFlow","238","Type: OFPT_PACKET_IN"
"50","0.579846488","127.0.0.1","127.0.0.1","OpenFlow","108","Type: OFPT_PACKET_OUT"
"54","0.580113946","127.0.0.1","127.0.0.1","OpenFlow","108","Type: OFPT_PACKET_OUT"
"67","0.580560514","127.0.0.1","127.0.0.1","OpenFlow","238","Type: OFPT_PACKET_IN"
"68","0.581057490","127.0.0.1","127.0.0.1","OpenFlow","108","Type: OFPT_PACKET_OUT"
"114","1.178145183","127.0.0.1","127.0.0.1","OpenFlow","238","Type: OFPT_PACKET_IN"
"115","1.178962647","127.0.0.1","127.0.0.1","OpenFlow","108","Type: OFPT_PACKET_OUT"
"121","1.185432351","127.0.0.1","127.0.0.1","OpenFlow","238","Type: OFPT_PACKET_IN"
"122","1.186476937","127.0.0.1","127.0.0.1","OpenFlow","108","Type: OFPT_PACKET_OUT"
"2382","1.393173631","127.0.0.1","127.0.0.1","OpenFlow","165","Type: OFPT_PACKET_IN"
"2568","1.393851404","127.0.0.1","127.0.0.1","OpenFlow","106","Type: OFPT_PACKET_OUT"
"2570","1.393940813","127.0.0.1","127.0.0.1","OpenFlow","163","Type: OFPT_PACKET_IN"
"2571","1.393950797","127.0.0.1","127.0.0.1","OpenFlow","163","Type: OFPT_PACKET_IN"
"2572","1.394075895","127.0.0.1","127.0.0.1","OpenFlow","191","Type: OFPT_PACKET_IN"
"2580","1.395048441","127.0.0.1","127.0.0.1","OpenFlow","106","Type: OFPT_PACKET_OUT"
"2581","1.395056972","127.0.0.1","127.0.0.1","OpenFlow","106","Type: OFPT_PACKET_OUT"
"2582","1.395062021","127.0.0.1","127.0.0.1","OpenFlow","106","Type: OFPT_PACKET_OUT"
"2583","1.395135397","127.0.0.1","127.0.0.1","OpenFlow","163","Type: OFPT_PACKET_IN"
"2584","1.395162162","127.0.0.1","127.0.0.1","OpenFlow","163","Type: OFPT_PACKET_IN"
"2585","1.395167274","127.0.0.1","127.0.0.1","OpenFlow","163","Type: OFPT_PACKET_IN"
"2595","1.395813748","127.0.0.1","127.0.0.1","OpenFlow","106","Type: OFPT_PACKET_OUT"
"2596","1.395822246","127.0.0.1","127.0.0.1","OpenFlow","106","Type: OFPT_PACKET_OUT"
"2597","1.395827455","127.0.0.1","127.0.0.1","OpenFlow","106","Type: OFPT_PACKET_OUT"
"2600","1.395935724","127.0.0.1","127.0.0.1","OpenFlow","163","Type: OFPT_PACKET_IN"
"2601","1.395959829","127.0.0.1","127.0.0.1","OpenFlow","163","Type: OFPT_PACKET_IN"
"2602","1.395964856","127.0.0.1","127.0.0.1","OpenFlow","163","Type: OFPT_PACKET_IN"
"2603","1.395968784","127.0.0.1","127.0.0.1","OpenFlow","191","Type: OFPT_PACKET_IN"
"2604","1.395973057","127.0.0.1","127.0.0.1","OpenFlow","191","Type: OFPT_PACKET_IN"
"2606","1.395979848","127.0.0.1","127.0.0.1","OpenFlow","191","Type: OFPT_PACKET_IN"
"2607","1.395983789","127.0.0.1","127.0.0.1","OpenFlow","191","Type: OFPT_PACKET_IN"
"2608","1.395987717","127.0.0.1","127.0.0.1","OpenFlow","163","Type: OFPT_PACKET_IN"
"2609","1.395991607","127.0.0.1","127.0.0.1","OpenFlow","191","Type: OFPT_PACKET_IN"
"2611","1.396245598","127.0.0.1","127.0.0.1","OpenFlow","163","Type: OFPT_PACKET_IN"
"2615","1.396456458","127.0.0.1","127.0.0.1","OpenFlow","163","Type: OFPT_PACKET_IN"
"2617","1.396676923","127.0.0.1","127.0.0.1","OpenFlow","163","Type: OFPT_PACKET_IN"
"2620","1.396883394","127.0.0.1","127.0.0.1","OpenFlow","163","Type: OFPT_PACKET_IN"
"2622","1.397099512","127.0.0.1","127.0.0.1","OpenFlow","163","Type: OFPT_PACKET_IN"
"2625","1.397282497","127.0.0.1","127.0.0.1","OpenFlow","163","Type: OFPT_PACKET_IN"
"2627","1.397520499","127.0.0.1","127.0.0.1","OpenFlow","163","Type: OFPT_PACKET_IN"
"2629","1.398278612","127.0.0.1","127.0.0.1","OpenFlow","106","Type: OFPT_PACKET_OUT"
"2630","1.398437722","127.0.0.1","127.0.0.1","OpenFlow","106","Type: OFPT_PACKET_OUT"
"2632","1.398571143","127.0.0.1","127.0.0.1","OpenFlow","106","Type: OFPT_PACKET_OUT"
"2633","1.398694797","127.0.0.1","127.0.0.1","OpenFlow","106","Type: OFPT_PACKET_OUT"
"2636","1.398863376","127.0.0.1","127.0.0.1","OpenFlow","106","Type: OFPT_PACKET_OUT"
"2680","1.393851404","127.0.0.1","127.0.0.1","OpenFlow","108","[TCP Spurious Retransmission] Type: OFPT_PACKET_OUT"
"2802","1.399336310","127.0.0.1","127.0.0.1","OpenFlow","165","Type: OFPT_PACKET_IN"
"2807","1.399527852","127.0.0.1","127.0.0.1","OpenFlow","165","Type: OFPT_PACKET_IN"
"2811","1.399688703","127.0.0.1","127.0.0.1","OpenFlow","165","Type: OFPT_PACKET_IN"
"2812","1.399690162","127.0.0.1","127.0.0.1","OpenFlow","108","Type: OFPT_PACKET_OUT"
"2813","1.399702420","127.0.0.1","127.0.0.1","OpenFlow","108","Type: OFPT_PACKET_OUT"
"2814","1.399708122","127.0.0.1","127.0.0.1","OpenFlow","108","Type: OFPT_PACKET_OUT"
"2815","1.399712533","127.0.0.1","127.0.0.1","OpenFlow","108","Type: OFPT_PACKET_OUT"
"2816","1.399717240","127.0.0.1","127.0.0.1","OpenFlow","108","Type: OFPT_PACKET_OUT"
"2817","1.399721668","127.0.0.1","127.0.0.1","OpenFlow","108","Type: OFPT_PACKET_OUT"
"2834","1.400102292","127.0.0.1","127.0.0.1","OpenFlow","165","Type: OFPT_PACKET_IN"
"2839","1.400318807","127.0.0.1","127.0.0.1","OpenFlow","165","Type: OFPT_PACKET_IN"
"2843","1.400523477","127.0.0.1","127.0.0.1","OpenFlow","165","Type: OFPT_PACKET_IN"
"2848","1.400694062","127.0.0.1","127.0.0.1","OpenFlow","165","Type: OFPT_PACKET_IN"
"2853","1.400864162","127.0.0.1","127.0.0.1","OpenFlow","165","Type: OFPT_PACKET_IN"
"2855","1.400962640","127.0.0.1","127.0.0.1","OpenFlow","108","Type: OFPT_PACKET_OUT"
"2856","1.400972118","127.0.0.1","127.0.0.1","OpenFlow","108","Type: OFPT_PACKET_OUT"
"2857","1.400977324","127.0.0.1","127.0.0.1","OpenFlow","108","Type: OFPT_PACKET_OUT"
"2858","1.400981889","127.0.0.1","127.0.0.1","OpenFlow","108","Type: OFPT_PACKET_OUT"
"2859","1.400986154","127.0.0.1","127.0.0.1","OpenFlow","108","Type: OFPT_PACKET_OUT"
"2869","1.401117474","127.0.0.1","127.0.0.1","OpenFlow","165","Type: OFPT_PACKET_IN"
"2873","1.401422189","127.0.0.1","127.0.0.1","OpenFlow","165","Type: OFPT_PACKET_IN"
"2878","1.401629465","127.0.0.1","127.0.0.1","OpenFlow","165","Type: OFPT_PACKET_IN"
"2882","1.401829272","127.0.0.1","127.0.0.1","OpenFlow","165","Type: OFPT_PACKET_IN"
"2887","1.402032124","127.0.0.1","127.0.0.1","OpenFlow","165","Type: OFPT_PACKET_IN"
"2891","1.402243363","127.0.0.1","127.0.0.1","OpenFlow","165","Type: OFPT_PACKET_IN"
"2897","1.402460093","127.0.0.1","127.0.0.1","OpenFlow","108","Type: OFPT_PACKET_OUT"
"2898","1.402469601","127.0.0.1","127.0.0.1","OpenFlow","108","Type: OFPT_PACKET_OUT"
"2899","1.402472206","127.0.0.1","127.0.0.1","OpenFlow","165","Type: OFPT_PACKET_IN"
"2900","1.402475004","127.0.0.1","127.0.0.1","OpenFlow","108","Type: OFPT_PACKET_OUT"
