"No.","Time","Source","Destination","Protocol","Length","Info"
"95","1.050464465","127.0.0.1","127.0.0.1","OpenFlow","217","Type: OFPT_PACKET_IN"
"96","1.051604067","127.0.0.1","127.0.0.1","OpenFlow","108","Type: OFPT_PACKET_OUT"
"102","1.051910279","127.0.0.1","127.0.0.1","OpenFlow","217","Type: OFPT_PACKET_IN"
"103","1.052806610","127.0.0.1","127.0.0.1","OpenFlow","108","Type: OFPT_PACKET_OUT"
"123","1.149114057","127.0.0.1","127.0.0.1","OpenFlow","238","Type: OFPT_PACKET_IN"
"124","1.150407403","127.0.0.1","127.0.0.1","OpenFlow","108","Type: OFPT_PACKET_OUT"
"144","1.201840750","127.0.0.1","127.0.0.1","OpenFlow","217","Type: OFPT_PACKET_IN"
"145","1.202858735","127.0.0.1","127.0.0.1","OpenFlow","108","Type: OFPT_PACKET_OUT"
"151","1.203149522","127.0.0.1","127.0.0.1","OpenFlow","217","Type: OFPT_PACKET_IN"
"152","1.203731622","127.0.0.1","127.0.0.1","OpenFlow","108","Type: OFPT_PACKET_OUT"
"430","1.226733319","127.0.0.1","127.0.0.1","OpenFlow","165","Type: OFPT_PACKET_IN"
"432","1.226742236","127.0.0.1","127.0.0.1","OpenFlow","165","Type: OFPT_PACKET_IN"
"433","1.226747367","127.0.0.1","127.0.0.1","OpenFlow","165","Type: OFPT_PACKET_IN"
"434","1.226754046","127.0.0.1","127.0.0.1","OpenFlow","165","Type: OFPT_PACKET_IN"
"435","1.226765245","127.0.0.1","127.0.0.1","OpenFlow","165","Type: OFPT_PACKET_IN"
"436","1.226769478","127.0.0.1","127.0.0.1","OpenFlow","165","Type: OFPT_PACKET_IN"
"437","1.226773386","127.0.0.1","127.0.0.1","OpenFlow","165","Type: OFPT_PACKET_IN"
"438","1.226776888","127.0.0.1","127.0.0.1","OpenFlow","165","Type: OFPT_PACKET_IN"
"445","1.227288009","127.0.0.1","127.0.0.1","OpenFlow","941","Type: OFPT_PACKET_IN"
"490","1.228455495","127.0.0.1","127.0.0.1","OpenFlow","165","Type: OFPT_PACKET_IN"
"491","1.228461347","127.0.0.1","127.0.0.1","OpenFlow","165","Type: OFPT_PACKET_IN"
"492","1.228465455","127.0.0.1","127.0.0.1","OpenFlow","165","Type: OFPT_PACKET_IN"
"493","1.228469211","127.0.0.1","127.0.0.1","OpenFlow","165","Type: OFPT_PACKET_IN"
"494","1.228472759","127.0.0.1","127.0.0.1","OpenFlow","165","Type: OFPT_PACKET_IN"
"495","1.228476488","127.0.0.1","127.0.0.1","OpenFlow","165","Type: OFPT_PACKET_IN"
"496","1.228480069","127.0.0.1","127.0.0.1","OpenFlow","165","Type: OFPT_PACKET_IN"
"505","1.229943248","127.0.0.1","127.0.0.1","OpenFlow","1038","Type: OFPT_PACKET_IN"
"506","1.229949515","127.0.0.1","127.0.0.1","OpenFlow","165","Type: OFPT_PACKET_IN"
"522","1.230530148","127.0.0.1","127.0.0.1","OpenFlow","165","Type: OFPT_PACKET_IN"
"523","1.230581528","127.0.0.1","127.0.0.1","OpenFlow","165","Type: OFPT_PACKET_IN"
"524","1.230586566","127.0.0.1","127.0.0.1","OpenFlow","165","Type: OFPT_PACKET_IN"
"525","1.230590446","127.0.0.1","127.0.0.1","OpenFlow","165","Type: OFPT_PACKET_IN"
"526","1.230593917","127.0.0.1","127.0.0.1","OpenFlow","165","Type: OFPT_PACKET_IN"
"557","1.230897110","127.0.0.1","127.0.0.1","OpenFlow","108","Type: OFPT_PACKET_OUT"
"560","1.230908950","127.0.0.1","127.0.0.1","OpenFlow","108","Type: OFPT_PACKET_OUT"
"561","1.230917588","127.0.0.1","127.0.0.1","OpenFlow","108","Type: OFPT_PACKET_OUT"
"562","1.230935619","127.0.0.1","127.0.0.1","OpenFlow","108","Type: OFPT_PACKET_OUT"
"563","1.230939034","127.0.0.1","127.0.0.1","OpenFlow","165","Type: OFPT_PACKET_IN"
"564","1.230940799","127.0.0.1","127.0.0.1","OpenFlow","108","Type: OFPT_PACKET_OUT"
"565","1.230944991","127.0.0.1","127.0.0.1","OpenFlow","165","Type: OFPT_PACKET_IN"
"566","1.230949738","127.0.0.1","127.0.0.1","OpenFlow","108","Type: OFPT_PACKET_OUT"
"567","1.230951174","127.0.0.1","127.0.0.1","OpenFlow","165","Type: OFPT_PACKET_IN"
"568","1.230954719","127.0.0.1","127.0.0.1","OpenFlow","108","Type: OFPT_PACKET_OUT"
"569","1.230956320","127.0.0.1","127.0.0.1","OpenFlow","165","Type: OFPT_PACKET_IN"
"570","1.230960010","127.0.0.1","127.0.0.1","OpenFlow","108","Type: OFPT_PACKET_OUT"
"571","1.230962053","127.0.0.1","127.0.0.1","OpenFlow","165","Type: OFPT_PACKET_IN"
"572","1.230965724","127.0.0.1","127.0.0.1","OpenFlow","108","Type: OFPT_PACKET_OUT"
"573","1.230971190","127.0.0.1","127.0.0.1","OpenFlow","108","Type: OFPT_PACKET_OUT"
"574","1.230976026","127.0.0.1","127.0.0.1","OpenFlow","108","Type: OFPT_PACKET_OUT"
"575","1.230980550","127.0.0.1","127.0.0.1","OpenFlow","108","Type: OFPT_PACKET_OUT"
"576","1.230985063","127.0.0.1","127.0.0.1","OpenFlow","108","Type: OFPT_PACKET_OUT"
"577","1.230989841","127.0.0.1","127.0.0.1","OpenFlow","108","Type: OFPT_PACKET_OUT"
