"No.","Time","Source","Destination","Protocol","Length","Info"
"75","0.212534156","127.0.0.1","127.0.0.1","OpenFlow","165","Type: OFPT_PACKET_IN"
"76","0.212548534","127.0.0.1","127.0.0.1","OpenFlow","165","Type: OFPT_PACKET_IN"
"77","0.212553659","127.0.0.1","127.0.0.1","OpenFlow","165","Type: OFPT_PACKET_IN"
"78","0.212557668","127.0.0.1","127.0.0.1","OpenFlow","165","Type: OFPT_PACKET_IN"
"79","0.212561543","127.0.0.1","127.0.0.1","OpenFlow","165","Type: OFPT_PACKET_IN"
"80","0.212565591","127.0.0.1","127.0.0.1","OpenFlow","165","Type: OFPT_PACKET_IN"
"81","0.212569178","127.0.0.1","127.0.0.1","OpenFlow","165","Type: OFPT_PACKET_IN"
"82","0.212572742","127.0.0.1","127.0.0.1","OpenFlow","165","Type: OFPT_PACKET_IN"
"84","0.214396613","127.0.0.1","127.0.0.1","OpenFlow","108","Type: OFPT_PACKET_OUT"
"89","0.214751801","127.0.0.1","127.0.0.1","OpenFlow","108","Type: OFPT_PACKET_OUT"
"95","0.215015833","127.0.0.1","127.0.0.1","OpenFlow","108","Type: OFPT_PACKET_OUT"
"100","0.215279770","127.0.0.1","127.0.0.1","OpenFlow","108","Type: OFPT_PACKET_OUT"
"105","0.215550804","127.0.0.1","127.0.0.1","OpenFlow","108","Type: OFPT_PACKET_OUT"
"110","0.215683520","127.0.0.1","127.0.0.1","OpenFlow","108","Type: OFPT_PACKET_OUT"
"114","0.215699063","127.0.0.1","127.0.0.1","OpenFlow","108","Type: OFPT_PACKET_OUT"
"120","0.215710784","127.0.0.1","127.0.0.1","OpenFlow","108","Type: OFPT_PACKET_OUT"
"131","0.215875720","127.0.0.1","127.0.0.1","OpenFlow","165","Type: OFPT_PACKET_IN"
"139","0.216029059","127.0.0.1","127.0.0.1","OpenFlow","165","Type: OFPT_PACKET_IN"
"141","0.216038031","127.0.0.1","127.0.0.1","OpenFlow","165","Type: OFPT_PACKET_IN"
"142","0.216044017","127.0.0.1","127.0.0.1","OpenFlow","165","Type: OFPT_PACKET_IN"
"146","0.216093308","127.0.0.1","127.0.0.1","OpenFlow","165","Type: OFPT_PACKET_IN"
"148","0.216101266","127.0.0.1","127.0.0.1","OpenFlow","165","Type: OFPT_PACKET_IN"
"155","0.216216803","127.0.0.1","127.0.0.1","OpenFlow","165","Type: OFPT_PACKET_IN"
"158","0.216241672","127.0.0.1","127.0.0.1","OpenFlow","165","Type: OFPT_PACKET_IN"
"159","0.216250707","127.0.0.1","127.0.0.1","OpenFlow","165","Type: OFPT_PACKET_IN"
"182","0.216708110","127.0.0.1","127.0.0.1","OpenFlow","1523","Type: OFPT_PACKET_IN"
"183","0.216712933","127.0.0.1","127.0.0.1","OpenFlow","165","Type: OFPT_PACKET_IN"
"186","0.216801052","127.0.0.1","127.0.0.1","OpenFlow","165","Type: OFPT_PACKET_IN"
"187","0.216810236","127.0.0.1","127.0.0.1","OpenFlow","165","Type: OFPT_PACKET_IN"
"190","0.216870614","127.0.0.1","127.0.0.1","OpenFlow","165","Type: OFPT_PACKET_IN"
"192","0.216878767","127.0.0.1","127.0.0.1","OpenFlow","165","Type: OFPT_PACKET_IN"
"195","0.216930110","127.0.0.1","127.0.0.1","OpenFlow","165","Type: OFPT_PACKET_IN"
"196","0.216938370","127.0.0.1","127.0.0.1","OpenFlow","165","Type: OFPT_PACKET_IN"
"205","0.217038253","127.0.0.1","127.0.0.1","OpenFlow","165","Type: OFPT_PACKET_IN"
"303","0.218606950","127.0.0.1","127.0.0.1","OpenFlow","5209","Type: OFPT_PACKET_IN"
"317","0.218758705","127.0.0.1","127.0.0.1","OpenFlow","165","Type: OFPT_PACKET_IN"
"319","0.218765303","127.0.0.1","127.0.0.1","OpenFlow","165","Type: OFPT_PACKET_IN"
"320","0.218771019","127.0.0.1","127.0.0.1","OpenFlow","165","Type: OFPT_PACKET_IN"
"321","0.218796404","127.0.0.1","127.0.0.1","OpenFlow","165","Type: OFPT_PACKET_IN"
"323","0.218803438","127.0.0.1","127.0.0.1","OpenFlow","165","Type: OFPT_PACKET_IN"
"328","0.218934393","127.0.0.1","127.0.0.1","OpenFlow","165","Type: OFPT_PACKET_IN"
"329","0.218943836","127.0.0.1","127.0.0.1","OpenFlow","165","Type: OFPT_PACKET_IN"
"330","0.218949790","127.0.0.1","127.0.0.1","OpenFlow","165","Type: OFPT_PACKET_IN"
"362","0.219508201","127.0.0.1","127.0.0.1","OpenFlow","165","Type: OFPT_PACKET_IN"
"364","0.219520164","127.0.0.1","127.0.0.1","OpenFlow","165","Type: OFPT_PACKET_IN"
"365","0.219527119","127.0.0.1","127.0.0.1","OpenFlow","165","Type: OFPT_PACKET_IN"
"367","0.219560283","127.0.0.1","127.0.0.1","OpenFlow","165","Type: OFPT_PACKET_IN"
"403","0.220201303","127.0.0.1","127.0.0.1","OpenFlow","165","Type: OFPT_PACKET_IN"
"405","0.220210715","127.0.0.1","127.0.0.1","OpenFlow","165","Type: OFPT_PACKET_IN"
"493","0.212534156","127.0.0.1","127.0.0.1","OpenFlow","163","[TCP Spurious Retransmission] Type: OFPT_PACKET_IN"
"494","0.212548534","127.0.0.1","127.0.0.1","OpenFlow","163","[TCP Spurious Retransmission] Type: OFPT_PACKET_IN"
"495","0.212553659","127.0.0.1","127.0.0.1","OpenFlow","163","[TCP Spurious Retransmission] Type: OFPT_PACKET_IN"
"496","0.212557668","127.0.0.1","127.0.0.1","OpenFlow","163","[TCP Spurious Retransmission] Type: OFPT_PACKET_IN"
"497","0.212561543","127.0.0.1","127.0.0.1","OpenFlow","163","[TCP Spurious Retransmission] Type: OFPT_PACKET_IN"
"498","0.212565591","127.0.0.1","127.0.0.1","OpenFlow","163","[TCP Spurious Retransmission] Type: OFPT_PACKET_IN"
"499","0.212569178","127.0.0.1","127.0.0.1","OpenFlow","163","[TCP Spurious Retransmission] Type: OFPT_PACKET_IN"
"500","0.212572742","127.0.0.1","127.0.0.1","OpenFlow","163","[TCP Spurious Retransmission] Type: OFPT_PACKET_IN"
"629","0.224039577","127.0.0.1","127.0.0.1","OpenFlow","11415","Type: OFPT_PACKET_IN"
"630","0.225503613","127.0.0.1","127.0.0.1","OpenFlow","163","Type: OFPT_PACKET_IN"
"631","0.225516255","127.0.0.1","127.0.0.1","OpenFlow","163","Type: OFPT_PACKET_IN"
"632","0.225522898","127.0.0.1","127.0.0.1","OpenFlow","163","Type: OFPT_PACKET_IN"
"633","0.225528629","127.0.0.1","127.0.0.1","OpenFlow","163","Type: OFPT_PACKET_IN"
"634","0.225533856","127.0.0.1","127.0.0.1","OpenFlow","163","Type: OFPT_PACKET_IN"
"635","0.225539128","127.0.0.1","127.0.0.1","OpenFlow","163","Type: OFPT_PACKET_IN"
"636","0.225545709","127.0.0.1","127.0.0.1","OpenFlow","163","Type: OFPT_PACKET_IN"
"637","0.225550857","127.0.0.1","127.0.0.1","OpenFlow","163","Type: OFPT_PACKET_IN"
"638","0.230089074","127.0.0.1","127.0.0.1","OpenFlow","106","Type: OFPT_PACKET_OUT"
"639","0.230100001","127.0.0.1","127.0.0.1","OpenFlow","2394","Type: OFPT_PACKET_IN"
"640","0.230111700","127.0.0.1","127.0.0.1","OpenFlow","106","Type: OFPT_PACKET_OUT"
"641","0.230116661","127.0.0.1","127.0.0.1","OpenFlow","106","Type: OFPT_PACKET_OUT"
"642","0.230121774","127.0.0.1","127.0.0.1","OpenFlow","106","Type: OFPT_PACKET_OUT"
"643","0.230126160","127.0.0.1","127.0.0.1","OpenFlow","106","Type: OFPT_PACKET_OUT"
"644","0.230131256","127.0.0.1","127.0.0.1","OpenFlow","106","Type: OFPT_PACKET_OUT"
"645","0.230135294","127.0.0.1","127.0.0.1","OpenFlow","106","Type: OFPT_PACKET_OUT"
"646","0.230139526","127.0.0.1","127.0.0.1","OpenFlow","106","Type: OFPT_PACKET_OUT"
"647","0.230143541","127.0.0.1","127.0.0.1","OpenFlow","106","Type: OFPT_PACKET_OUT"
