"No.","Time","Source","Destination","Protocol","Length","Info"
"29","0.576457046","127.0.0.1","127.0.0.1","OpenFlow","238","Type: OFPT_PACKET_IN"
"30","0.577654127","127.0.0.1","127.0.0.1","OpenFlow","108","Type: OFPT_PACKET_OUT"
"42","0.578316335","127.0.0.1","127.0.0.1","OpenFlow","238","Type: OFPT_PACKET_IN"
"43","0.579261176","127.0.0.1","127.0.0.1","OpenFlow","108","Type: OFPT_PACKET_OUT"
"49","0.579676628","127.0.0.1","127.0.0.1","OpenFlow","238","Type: OFPT_PACKET_IN"
"58","0.580281254","127.0.0.1","127.0.0.1","OpenFlow","108","Type: OFPT_PACKET_OUT"
"66","0.580537585","127.0.0.1","127.0.0.1","OpenFlow","238","Type: OFPT_PACKET_IN"
"70","0.581116505","127.0.0.1","127.0.0.1","OpenFlow","108","Type: OFPT_PACKET_OUT"
"138","1.283357205","127.0.0.1","127.0.0.1","OpenFlow","238","Type: OFPT_PACKET_IN"
"139","1.284015290","127.0.0.1","127.0.0.1","OpenFlow","108","Type: OFPT_PACKET_OUT"
"200","1.289626691","127.0.0.1","127.0.0.1","OpenFlow","165","Type: OFPT_PACKET_IN"
"202","1.289657376","127.0.0.1","127.0.0.1","OpenFlow","165","Type: OFPT_PACKET_IN"
"203","1.289663725","127.0.0.1","127.0.0.1","OpenFlow","165","Type: OFPT_PACKET_IN"
"204","1.289667886","127.0.0.1","127.0.0.1","OpenFlow","165","Type: OFPT_PACKET_IN"
"205","1.289671993","127.0.0.1","127.0.0.1","OpenFlow","165","Type: OFPT_PACKET_IN"
"206","1.289676045","127.0.0.1","127.0.0.1","OpenFlow","165","Type: OFPT_PACKET_IN"
"207","1.289680227","127.0.0.1","127.0.0.1","OpenFlow","165","Type: OFPT_PACKET_IN"
"208","1.289684218","127.0.0.1","127.0.0.1","OpenFlow","165","Type: OFPT_PACKET_IN"
"209","1.289688201","127.0.0.1","127.0.0.1","OpenFlow","165","Type: OFPT_PACKET_IN"
"210","1.289691861","127.0.0.1","127.0.0.1","OpenFlow","165","Type: OFPT_PACKET_IN"
"212","1.290352301","127.0.0.1","127.0.0.1","OpenFlow","4724","Type: OFPT_PACKET_IN"
"224","1.293555270","127.0.0.1","127.0.0.1","OpenFlow","165","Type: OFPT_PACKET_IN"
"227","1.293574069","127.0.0.1","127.0.0.1","OpenFlow","165","Type: OFPT_PACKET_IN"
"229","1.293585308","127.0.0.1","127.0.0.1","OpenFlow","165","Type: OFPT_PACKET_IN"
"231","1.293589798","127.0.0.1","127.0.0.1","OpenFlow","165","Type: OFPT_PACKET_IN"
"232","1.293593695","127.0.0.1","127.0.0.1","OpenFlow","165","Type: OFPT_PACKET_IN"
"233","1.293597515","127.0.0.1","127.0.0.1","OpenFlow","165","Type: OFPT_PACKET_IN"
"235","1.293601364","127.0.0.1","127.0.0.1","OpenFlow","165","Type: OFPT_PACKET_IN"
"236","1.293605039","127.0.0.1","127.0.0.1","OpenFlow","165","Type: OFPT_PACKET_IN"
"242","1.293655273","127.0.0.1","127.0.0.1","OpenFlow","165","Type: OFPT_PACKET_IN"
"244","1.293660639","127.0.0.1","127.0.0.1","OpenFlow","165","Type: OFPT_PACKET_IN"
"245","1.293665276","127.0.0.1","127.0.0.1","OpenFlow","165","Type: OFPT_PACKET_IN"
"322","1.294355402","127.0.0.1","127.0.0.1","OpenFlow","7925","Type: OFPT_PACKET_IN"
"323","1.294361206","127.0.0.1","127.0.0.1","OpenFlow","165","Type: OFPT_PACKET_IN"
"328","1.294393566","127.0.0.1","127.0.0.1","OpenFlow","165","Type: OFPT_PACKET_IN"
"331","1.294407157","127.0.0.1","127.0.0.1","OpenFlow","165","Type: OFPT_PACKET_IN"
"342","1.294500486","127.0.0.1","127.0.0.1","OpenFlow","165","Type: OFPT_PACKET_IN"
"344","1.294505740","127.0.0.1","127.0.0.1","OpenFlow","165","Type: OFPT_PACKET_IN"
"346","1.294519665","127.0.0.1","127.0.0.1","OpenFlow","165","Type: OFPT_PACKET_IN"
"347","1.294523961","127.0.0.1","127.0.0.1","OpenFlow","165","Type: OFPT_PACKET_IN"
"349","1.294528756","127.0.0.1","127.0.0.1","OpenFlow","165","Type: OFPT_PACKET_IN"
"350","1.294532845","127.0.0.1","127.0.0.1","OpenFlow","165","Type: OFPT_PACKET_IN"
"353","1.294548042","127.0.0.1","127.0.0.1","OpenFlow","165","Type: OFPT_PACKET_IN"
"355","1.294552649","127.0.0.1","127.0.0.1","OpenFlow","165","Type: OFPT_PACKET_IN"
"429","1.297641814","127.0.0.1","127.0.0.1","OpenFlow","108","Type: OFPT_PACKET_OUT"
"430","1.297651028","127.0.0.1","127.0.0.1","OpenFlow","8701","Type: OFPT_PACKET_IN"
"431","1.297664309","127.0.0.1","127.0.0.1","OpenFlow","108","Type: OFPT_PACKET_OUT"
"432","1.297670385","127.0.0.1","127.0.0.1","OpenFlow","108","Type: OFPT_PACKET_OUT"
"433","1.297675442","127.0.0.1","127.0.0.1","OpenFlow","108","Type: OFPT_PACKET_OUT"
"434","1.297680321","127.0.0.1","127.0.0.1","OpenFlow","108","Type: OFPT_PACKET_OUT"
"435","1.297684892","127.0.0.1","127.0.0.1","OpenFlow","108","Type: OFPT_PACKET_OUT"
"437","1.297689313","127.0.0.1","127.0.0.1","OpenFlow","108","Type: OFPT_PACKET_OUT"
"439","1.297694306","127.0.0.1","127.0.0.1","OpenFlow","108","Type: OFPT_PACKET_OUT"
"440","1.297698829","127.0.0.1","127.0.0.1","OpenFlow","108","Type: OFPT_PACKET_OUT"
"441","1.297703444","127.0.0.1","127.0.0.1","OpenFlow","108","Type: OFPT_PACKET_OUT"
"442","1.297708010","127.0.0.1","127.0.0.1","OpenFlow","108","Type: OFPT_PACKET_OUT"
"462","1.297851094","127.0.0.1","127.0.0.1","OpenFlow","308","Type: OFPT_PACKET_OUT"
