Time,6633-restime,6634-restime,6633-throughput,6634-throughput
16.9,0.000823056,0.003293864,1235,305
17,0.000822698,0.003292298,1260,320
17.1,0.00082234,0.003290732,1200,300
17.2,0.000821982,0.003289166,1110,275
17.3,0.000821624,0.003287601,1250,315
17.4,0.000821267,0.003286035,1195,295
17.5,0.000820909,0.003284469,1110,280
17.6,0.000820551,0.003282903,1185,295
,,,1070,265
,,,1250,315
,,,1240,305
,,,1255,310
,,,1310,335
,,,1290,320
18.3,0.000757576,0.002985075,1320,335
18.4,0.000851064,0.003389831,1175,295
18.5,0.000854701,0.003508772,1170,285
18.6,0.000873362,0.003508772,1145,285
18.7,0.000854701,0.003389831,1170,295
18.8,0.00078125,0.003125,1280,320
18.9,0.000843882,0.003389831,1185,295
19,0.000787402,0.003076923,1270,325
19.1,0.000675676,0.002631579,1480,380
19.2,0.000896861,0.003571429,1115,280
19.3,0.000862069,0.003448276,1160,290
19.4,0.000829876,0.003333333,1205,300
19.5,0.0008,0.003174603,1250,315
19.6,0.000833333,0.003333333,1200,300
19.7,0.000833333,0.003333333,1200,300
19.8,0.000680272,0.002666667,1470,375
19.9,0.000719424,0.002816901,1390,355
20,0.000775194,0.003125,1290,320
20.1,0.000790514,0.003174603,1265,315
20.2,0.000877193,0.003571429,1140,280
20.3,0.000877193,0.003508772,1140,285
20.4,0.000877193,0.003448276,1140,290
20.5,0.000790514,0.003174603,1265,315
20.6,0.000803213,0.003278689,1245,305
20.7,0.000934579,0.003703704,1070,270
20.8,0.000909091,0.003636364,1100,275
20.9,0.000900901,0.003773585,1110,265
21,0.000819672,0.003225806,1220,310
21.1,0.000796813,0.003174603,1255,315
21.2,0.000888889,0.003571429,1125,280
21.3,0.000833333,0.003389831,1200,295
21.4,0.00077821,0.003030303,1285,330
21.5,0.000766284,0.003125,1305,320
21.6,0.000809717,0.003174603,1235,315
21.7,0.000862069,0.003571429,1160,280
21.8,0.000826446,0.003278689,1210,305
21.9,0.000793651,0.003174603,1260,315
22,0.000816327,0.003225806,1225,310
22.1,0.000829876,0.003333333,1205,300
22.2,0.000873362,0.003571429,1145,280
22.3,0.000809717,0.003333333,1235,300
22.4,0.000749064,0.002985075,1335,335
22.5,0.00077821,0.003076923,1285,325
22.6,0.000843882,0.003333333,1185,300
22.7,0.000980392,0.003921569,1020,255
22.8,0.00083682,0.003389831,1195,295
22.9,0.000865801,0.003448276,1155,290
23,0.000858369,0.003389831,1165,295
23.1,0.000873362,0.003508772,1145,285
23.2,0.000930233,0.003773585,1075,265
23.3,0.000892857,0.003636364,1120,275
23.4,0.000833333,0.003278689,1200,305
23.5,0.000746269,0.002941176,1340,340
23.6,0.000884956,0.003571429,1130,280
23.7,0.000930233,0.003703704,1075,270
23.8,0.000858369,0.003448276,1165,290
23.9,0.000858369,0.003448276,1165,290
24,0.000769231,0.003174603,1300,315
24.1,0.000766284,0.003225806,1305,310
24.2,0.000823045,0.003389831,1215,295
24.3,0.000803213,0.003174603,1245,315
24.4,0.000760456,0.003174603,1315,315
24.5,0.000826446,0.003278689,1210,305
24.6,0.000803213,0.003278689,1245,305
24.7,0.000888889,0.003636364,1125,275
24.8,0.000884956,0.003571429,1130,280
24.9,0.000892857,0.003571429,1120,280
25,0.000806452,0.003225806,1240,310
25.1,0.000772201,0.003076923,1295,325
25.2,0.000862069,0.003448276,1160,290
25.3,0.000809717,0.003225806,1235,310
25.4,0.000847458,0.003333333,1180,300
25.5,0.000784314,0.003174603,1275,315
25.6,0.000858369,0.003448276,1165,290
25.7,0.000873362,0.003571429,1145,280
25.8,0.000865801,0.003389831,1155,295
25.9,0.00083682,0.003389831,1195,295
26,0.000787402,0.003174603,1270,315
26.1,0.000772201,0.003174603,1295,315
26.2,0.000819672,0.003278689,1220,305
26.3,0.000843882,0.003333333,1185,300
26.4,0.000843882,0.003389831,1185,295
26.5,0.0008,0.003225806,1250,310
26.6,0.000970874,0.003174603,1030,315
26.7,0.001169591,0.001818182,855,550
